,precision,recall,f1-score,support
Combined,0.5,0.3333333333333333,0.4,3.0
MAM,0.6666666666666666,0.8,0.7272727272727272,5.0
accuracy,0.625,0.625,0.625,0.625
macro avg,0.5833333333333333,0.5666666666666667,0.5636363636363636,8.0
weighted avg,0.6041666666666666,0.625,0.6045454545454545,8.0
